鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
大安區,10.72,1130304,七層,住宅大樓(11層含以上有電梯),433
內湖區,20.19,1130219,一層,辦公商業大樓,528
信義區,34.0,1130301,二層,公寓(5樓含以下無電梯),292
信義區,14.35,1130301,見其他登記事項,店面(店鋪),335
信義區,19.52,1130201,八層,住宅大樓(11層含以上有電梯),413
內湖區,39.66,1130225,五層,公寓(5樓含以下無電梯),205
大安區,35.2,1130217,一層,公寓(5樓含以下無電梯),511
文山區,11.17,1130223,十層,住宅大樓(11層含以上有電梯),343
北投區,4.99,1130228,五層,住宅大樓(11層含以上有電梯),324
中正區,6.49,1130217,十層,住宅大樓(11層含以上有電梯),446
北投區,24.76,1130220,一層,公寓(5樓含以下無電梯),309
南港區,16.88,1130306,四層,住宅大樓(11層含以上有電梯),309
松山區,33.75,1130215,四層,公寓(5樓含以下無電梯),406
松山區,6.36,1130308,一層,店面(店鋪),1035
南港區,13.35,1130308,六層,住宅大樓(11層含以上有電梯),601
北投區,30.55,1130301,四層,公寓(5樓含以下無電梯),235
北投區,32.75,1130303,一層,公寓(5樓含以下無電梯),387
士林區,6.35,1130310,一層,公寓(5樓含以下無電梯),2059
內湖區,42.18,1130313,一層,公寓(5樓含以下無電梯),341
萬華區,24.7,1130224,五層,公寓(5樓含以下無電梯),295
北投區,32.48,1130314,一層,店面(店鋪),406
萬華區,6.35,1130224,八層,住宅大樓(11層含以上有電梯),461
內湖區,13.16,1130228,九層,住宅大樓(11層含以上有電梯),312
大安區,53.5,1130224,四層,公寓(5樓含以下無電梯),328
中正區,23.55,1130312,二十一層,辦公商業大樓,537
大同區,111.0,1130314,全,透天厝,714
中正區,32.0,1130301,四層,公寓(5樓含以下無電梯),293
內湖區,19.55,1130226,二層,住宅大樓(11層含以上有電梯),332
北投區,133.16,1130318,七層,住宅大樓(11層含以上有電梯),283
士林區,25.4,1130315,二層,公寓(5樓含以下無電梯),369
文山區,12.31,1130227,十層,住宅大樓(11層含以上有電梯),202
文山區,26.29,1130227,十二層,住宅大樓(11層含以上有電梯),186
大同區,6.07,1130226,一層,店面(店鋪),550
大同區,5.05,1130226,地下層,店面(店鋪),184
中山區,32.46,1130228,五層,華廈(10層含以下有電梯),266
內湖區,20.44,1130227,見其他登記事項,店面(店鋪),449
南港區,10.37,1130302,三層,華廈(10層含以下有電梯),565
士林區,67.66,1130227,十層,住宅大樓(11層含以上有電梯),631
大安區,63.14,1130228,四層,華廈(10層含以下有電梯),408
南港區,37.69,1130226,五層,住宅大樓(11層含以上有電梯),217
信義區,31.56,1130321,九層,辦公商業大樓,554
士林區,26.25,1130305,一層,店面(店鋪),459
南港區,23.62,1130321,十層,住宅大樓(11層含以上有電梯),375
南港區,637.39,1130220,NA,其他,235
中山區,10.98,1130309,七層,辦公商業大樓,607
北投區,19.48,1130303,四層,華廈(10層含以下有電梯),318
萬華區,25.25,1130311,一層,店面(店鋪),391
中山區,7.97,1130311,十一層,辦公商業大樓,424
內湖區,11.32,1130310,四層,華廈(10層含以下有電梯),517
南港區,33.72,1130311,六層,住宅大樓(11層含以上有電梯),304
南港區,16.88,1130303,十四層,住宅大樓(11層含以上有電梯),318
士林區,16.13,1130308,四層,辦公商業大樓,339
中正區,17.49,1130323,六層,華廈(10層含以下有電梯),288
萬華區,143.0,1130322,二層,華廈(10層含以下有電梯),490
內湖區,10.84,1130308,六層,辦公商業大樓,321
中山區,6.55,1130325,六層,住宅大樓(11層含以上有電梯),528
大安區,45.26,1130308,四層,公寓(5樓含以下無電梯),370
信義區,6.2,1130318,一層,辦公商業大樓,505
士林區,31.43,1130312,五層,公寓(5樓含以下無電梯),307
內湖區,91.31,1130315,二十一層,住宅大樓(11層含以上有電梯),683
信義區,30.87,1130319,一層,店面(店鋪),865
信義區,11.25,1130321,二層,公寓(5樓含以下無電梯),245
北投區,66.57,1130315,見其他登記事項,公寓(5樓含以下無電梯),231
士林區,50.15,1130305,三層,華廈(10層含以下有電梯),522
士林區,100.85,1130305,全,透天厝,279
萬華區,143.0,1130329,二層,華廈(10層含以下有電梯),563
內湖區,28.11,1130314,五層,華廈(10層含以下有電梯),425
內湖區,13.24,1130327,八層,住宅大樓(11層含以上有電梯),307
大安區,17.95,1130328,十層,辦公商業大樓,385
信義區,31.7,1130325,一層,店面(店鋪),919
內湖區,193.0,1130322,全,透天厝,570
中山區,47.09,1130317,七層,華廈(10層含以下有電梯),277
信義區,32.28,1130304,一層,店面(店鋪),688
南港區,13.89,1130329,四層,住宅大樓(11層含以上有電梯),586
北投區,12.4,1130401,六層,華廈(10層含以下有電梯),373
北投區,32.22,1130401,一層,公寓(5樓含以下無電梯),290
大同區,19.06,1130319,見其他登記事項,店面(店鋪),456
中山區,5.88,1130329,十一層,住宅大樓(11層含以上有電梯),420
中正區,10.96,1130320,十層,華廈(10層含以下有電梯),572
南港區,13.89,1130329,六層,住宅大樓(11層含以上有電梯),586
士林區,74.76,1130401,十四層,住宅大樓(11層含以上有電梯),451
中山區,4.23,1130322,九層,住宅大樓(11層含以上有電梯),494
內湖區,37.5,1130403,四層,公寓(5樓含以下無電梯),305
內湖區,10.6,1130318,一層,公寓(5樓含以下無電梯),625
士林區,38.8,1130318,三層,公寓(5樓含以下無電梯),269
萬華區,36.0,1130311,全,透天厝,300
南港區,32.63,1130403,一層,公寓(5樓含以下無電梯),425
萬華區,27.5,1130323,三層,公寓(5樓含以下無電梯),276
內湖區,51.8,1130410,五層,公寓(5樓含以下無電梯),175
信義區,103.67,1130323,一層,公寓(5樓含以下無電梯),366
內湖區,10.2,1130324,九層,華廈(10層含以下有電梯),482
信義區,10.02,1130327,二層,華廈(10層含以下有電梯),625
中山區,6.46,1130323,五層,華廈(10層含以下有電梯),731
松山區,29.5,1130323,二層,公寓(5樓含以下無電梯),470
中正區,39.84,1130305,見其他登記事項,公寓(5樓含以下無電梯),477
中正區,32.26,1130402,四層,辦公商業大樓,272
內湖區,27.7,1130402,五層,公寓(5樓含以下無電梯),403
北投區,25.99,1130414,五層,公寓(5樓含以下無電梯),204
北投區,25.99,1130414,五層,公寓(5樓含以下無電梯),204
士林區,9.05,1130329,七層,辦公商業大樓,580
士林區,48.74,1130319,八層,住宅大樓(11層含以上有電梯),462
內湖區,18.87,1130329,三層,華廈(10層含以下有電梯),362
中山區,7.26,1130329,二層,華廈(10層含以下有電梯),838
中山區,12.13,1130330,二層,華廈(10層含以下有電梯),434
士林區,13.57,1130330,五層,華廈(10層含以下有電梯),693
萬華區,41.5,1130416,一層,店面(店鋪),518
松山區,5.64,1130326,見其他登記事項,店面(店鋪),539
中正區,4.16,1130331,十層,住宅大樓(11層含以上有電梯),716
南港區,23.25,1130412,二層,公寓(5樓含以下無電梯),327
南港區,210.35,1130417,二層,廠辦,161
士林區,30.11,1130415,一層,華廈(10層含以下有電梯),1002
士林區,430.65,1130410,見其他登記事項,其他,565
大安區,1.5,1130319,八層,住宅大樓(11層含以上有電梯),390
南港區,19.5,1130325,一層,公寓(5樓含以下無電梯),523
士林區,38.0,1130329,一層,公寓(5樓含以下無電梯),370
大安區,8.79,1130331,八層,辦公商業大樓,547
萬華區,24.0,1130412,全,透天厝,688
萬華區,26.0,1130408,全,透天厝,614
北投區,38.0,1130419,一層,公寓(5樓含以下無電梯),324
中正區,40.31,1130401,三層,華廈(10層含以下有電梯),380
中正區,16.13,1130325,見其他登記事項,華廈(10層含以下有電梯),226
中山區,18.19,1130415,六層,住宅大樓(11層含以上有電梯),309
內湖區,33.45,1130402,二層,住宅大樓(11層含以上有電梯),345
士林區,12.64,1130416,一層,公寓(5樓含以下無電梯),532
內湖區,8.39,1130402,九層,住宅大樓(11層含以上有電梯),457
士林區,18.74,1130413,九層,華廈(10層含以下有電梯),273
內湖區,33.87,1130423,一層,住宅大樓(11層含以上有電梯),398
內湖區,33.03,1130414,三層,公寓(5樓含以下無電梯),263
萬華區,24.07,1130409,四層,華廈(10層含以下有電梯),230
松山區,40.0,1130401,一層,公寓(5樓含以下無電梯),538
內湖區,31.19,1130330,一層,公寓(5樓含以下無電梯),355
內湖區,12.49,1130401,八層,住宅大樓(11層含以上有電梯),533
文山區,80.82,1130409,十四層,住宅大樓(11層含以上有電梯),167
內湖區,4.22,1130426,二層,住宅大樓(11層含以上有電梯),562
內湖區,29.6,1130409,一層,公寓(5樓含以下無電梯),215
南港區,25.0,1130422,六層,公寓(5樓含以下無電梯),288
北投區,58.5,1130421,見其他登記事項,公寓(5樓含以下無電梯),447
內湖區,6.57,1130429,十層,辦公商業大樓,338
信義區,29.98,1130422,五層,公寓(5樓含以下無電梯),283
士林區,37.75,1130411,四層,公寓(5樓含以下無電梯),266
北投區,6.09,1130427,二層,華廈(10層含以下有電梯),426
士林區,73.0,1130430,一層,公寓(5樓含以下無電梯),728
文山區,8.75,1130430,四層,住宅大樓(11層含以上有電梯),774
大安區,3.68,1130413,十二層,住宅大樓(11層含以上有電梯),738
文山區,7.2,1100709,四層,住宅大樓(11層含以上有電梯),348
內湖區,23.99,1130414,五層,住宅大樓(11層含以上有電梯),358
內湖區,26.2,1130414,四層,公寓(5樓含以下無電梯),292
松山區,10.17,1130414,三層,華廈(10層含以下有電梯),483
信義區,45.2,1130423,四層,住宅大樓(11層含以上有電梯),461
萬華區,13.0,1130418,一層,公寓(5樓含以下無電梯),426
萬華區,62.0,1130428,全,透天厝,464
中正區,39.7,1130411,五層,住宅大樓(11層含以上有電梯),566
中正區,33.6,1130424,五層,公寓(5樓含以下無電梯),304
文山區,50.85,1130425,四層,公寓(5樓含以下無電梯),277
中正區,18.83,1130415,三層,公寓(5樓含以下無電梯),510
內湖區,80.21,1130422,二層,公寓(5樓含以下無電梯),312
內湖區,19.42,1130415,七層,華廈(10層含以下有電梯),411
信義區,74.24,1130429,四層,公寓(5樓含以下無電梯),247
士林區,32.5,1130412,二層,公寓(5樓含以下無電梯),342
士林區,48.62,1130415,三層,華廈(10層含以下有電梯),200
大安區,143.89,1130424,三層,華廈(10層含以下有電梯),389
南港區,10.55,1130507,一層,住宅大樓(11層含以上有電梯),517
中正區,49.25,1130415,四層,公寓(5樓含以下無電梯),265
萬華區,143.0,1130506,二層,華廈(10層含以下有電梯),593
中山區,7.88,1130430,一層,店面(店鋪),1134
信義區,29.13,1130419,三層,公寓(5樓含以下無電梯),342
北投區,7.79,1130504,一層,住宅大樓(11層含以上有電梯),543
北投區,37.7,1130419,四層,公寓(5樓含以下無電梯),279
士林區,30.56,1130419,三層,公寓(5樓含以下無電梯),315
士林區,28.33,1130501,一層,公寓(5樓含以下無電梯),372
士林區,28.4,1130423,見其他登記事項,公寓(5樓含以下無電梯),306
北投區,193.91,1120809,全,透天厝,417
松山區,16.07,1130426,二層,公寓(5樓含以下無電梯),760
北投區,91.43,1130507,三層,公寓(5樓含以下無電梯),273
內湖區,19.26,1130429,七層,廠辦,282
北投區,17.18,1130413,二層,華廈(10層含以下有電梯),440
